symbol,liquidity,market_cap_usd
PEPE/USDT,57747.091094919495,2486673833.0
SUI/USDT,49583.9098648,6870158884.0
IP/USDT,39704.262984,756688934.0
LTC/USDT,38528.1757515,6179557668.0
PUMP/USDT,30455.070945,1480198451.0
ZEC/USDT,21437.6087958,6397159912.0
PENGU/USDT,19377.292846999997,762767834.0
XPL/USDT,18835.5740715,350223315.0
POL/USDT,15833.585712,1795899750.0
RENDER/USDT,15352.904180000001,1355721946.0
FIL/USDT,15127.748553641999,1107232802.0
AVAX/USDT,14877.413230969998,5987749749.0
XAUT/USDT,14658.309189,2340191142.0
OKB/USDT,14186.881498974999,2340474128.0
HYPE/USDT,13215.1493332,5853584277.0
BREV/USDT,10952.5689225,89874735.0
LINK/USDT,10494.342611842,9417982117.0
BONK/USDT,8760.1516312015,930495088.0
SHIB/USDT,7786.711028946501,5058082849.0
UNI/USDT,7111.0702726005,3489785203.0
AAVE/USDT,6802.81703937,2570357394.0
TRUMP/USDT,6718.1914217,1101756358.0
SNX/USDT,6528.01543082945,163941352.0
NEAR/USDT,6246.450890325505,2212068012.0
WLD/USDT,6186.4250089,1568288832.0
TON/USDT,6067.5311547,4254423956.0
EIGEN/USDT,5969.03913,221025935.0
PI/USDT,5733.7696346,1749447372.0
WIF/USDT,5629.9307744,380331481.0
DOT/USDT,5595.848460084,3468421517.0
ASTER/USDT,5545.5162101999995,1712762619.0
WLFI/USDT,5525.7250965,4611554403.0
FET/USDT,5470.1686148,676596100.0
VIRTUAL/USDT,5291.33233755,709424441.0
NIGHT/USDT,5290.1714242,1191667526.0
XLM/USDT,5074.65712529763,7341997783.0
APT/USDT,5006.85493415,1358659536.0
OP/USDT,4513.2796338749995,625794018.0
CHZ/USDT,4459.32924445536,508178896.0
HBAR/USDT,4159.397028540145,5077723517.0
MERL/USDT,4046.5754186450004,266415763.0
ARB/USDT,3769.5510796199997,1187595373.0
ONDO/USDT,3504.8553965,1267025838.0
ICP/USDT,3497.640810728,1744523933.0
ZIL/USDT,2867.134318451507,103952090.0
LINEA/USDT,2752.9279702500003,115439774.0
W/USDT,2428.099315298,196173970.0
KAITO/USDT,2274.232457,141272454.0
TIA/USDT,2260.0378164999997,482117415.0
STRK/USDT,2145.4210190779995,415297135.0
ATOM/USDT,1864.6673645215,1274748110.0
ZEN/USDT,1790.0071408,159220128.0
ORDI/USDT,1783.7400298,93780249.0
CRV/USDT,1745.9451811834501,595601298.0
API3/USDT,1723.8910599513501,66935903.0
ENA/USDT,1666.1402174999998,1856981911.0
PYTH/USDT,1652.0736825949998,392619996.0
MOODENG/USDT,1638.00764955,80351011.0
DAI/USDT,1598.0286650415,4248730786.0
CORE/USDT,1553.559936,127006457.0
MEW/USDT,1435.1359292999998,90781901.0
ETHFI/USDT,1409.70193358,493834814.0
PEOPLE/USDT,1268.753702255847,51824057.0
LUNA/USDT,1236.2301998359999,62059970.0
HUMA/USDT,1206.2600224999999,45719144.0
ETC/USDT,1166.4084452900001,1943768793.0
BIO/USDT,1104.0308569600002,77513918.0
MET/USDT,1080.3438884999998,130252931.0
PNUT/USDT,1073.38545705,85018529.0
LDO/USDT,1065.9550972900001,543349938.0
ACH/USDT,995.087383715,55462208.0
STX/USDT,954.5610991051999,705042047.0
CFX/USDT,943.1465740385349,395851451.0
RAY/USDT,939.85101659295,323719940.0
PAXG/USDT,930.28146195,1721941117.0
INJ/USDT,922.59329955,528024203.0
JTO/USDT,917.5788785249999,191780047.0
ZRO/USDT,904.5926425,302943410.0
ZBCN/USDT,892.96250405,281965189.0
ATH/USDT,849.692455,163272350.0
CRO/USDT,837.2368603172699,3912340534.0
AVNT/USDT,801.6049554,82752555.0
CELO/USDT,798.37936362415,74947478.0
ZK/USDT,769.5126168,295940886.0
JUP/USDT,767.8031503499999,689713939.0
GMT/USDT,756.638969796,62697520.0
AR/USDT,745.757170738,247609950.0
GALA/USDT,742.0582887017684,336310647.0
DOOD/USDT,739.3106171499999,44054581.0
MOVE/USDT,716.145111,98042979.0
YGG/USDT,689.072974686065,47158417.0
S/USDT,683.9197179,324445755.0
SEI/USDT,673.235233,789115046.0
DYDX/USDT,664.97215476325,167773948.0
SAFE/USDT,656.7533607,107919904.0
FLOKI/USDT,534.651382625,502516775.0
MORPHO/USDT,531.79947475,702392591.0
MMT/USDT,529.0783710000001,51580013.0
BARD/USDT,527.9351445,179129168.0
NEIRO/USDT,512.9653925,56423465.0
SAHARA/USDT,499.76243600000004,73932292.0
BERA/USDT,481.81376295,82256096.0
PENDLE/USDT,461.648057,364672081.0
THETA/USDT,450.49319281174996,300228492.0
BOME/USDT,447.12392220000004,48278167.0
VELO/USDT,444.562468017715,122240606.0
MEME/USDT,427.815351625,69021121.0
WOO/USDT,427.26698095863003,54398519.0
KITE/USDT,396.1334,164554449.0
IMX/USDT,394.0903970298,227221507.0
SKY/USDT,391.902738,1339642164.0
TRB/USDT,371.63305677000005,59130133.0
ZETA/USDT,366.0451065,95752444.0
MINA/USDT,359.465182299715,106619480.0
ZORA/USDT,359.4445303,169240995.0
BAT/USDT,357.40080718060005,299628841.0
AXS/USDT,356.1318376529,163060748.0
SSV/USDT,353.8617324,58583567.0
SAND/USDT,342.7320313547,318034053.0
ARKM/USDT,338.2086401,114377713.0
TURBO/USDT,328.48484162499994,133175309.0
XCH/USDT,310.56328935,78612849.0
1INCH/USDT,302.67245947469996,217864762.0
EGLD/USDT,292.8274203475,185934106.0
A/USDT,287.2552485,282339678.0
SPK/USDT,286.8112445,54806076.0
XTZ/USDT,283.6106186354,620760293.0
ONT/USDT,281.26608371725,60421611.0
ALGO/USDT,277.3424102536,1183009382.0
ENS/USDT,271.354946644,399727654.0
TOSHI/USDT,236.5020796,144490928.0
IOTA/USDT,233.67208619823998,419737465.0
MASK/USDT,209.6307902655,66094197.0
2Z/USDT,207.181649,409843928.0
SWFTC/USDT,202.28552578034453,51619431.0
FLUID/USDT,200.3757245,234289366.0
APE/USDT,190.1218255635,192065414.0
FLR/USDT,186.16409495,926935084.0
LPT/USDT,183.496062919,154192185.0
DASH/USDT,182.75617599999998,473632840.0
USDG/USDT,179.530778645,1533415969.0
CTC/USDT,176.3641176739,148220094.0
BABYDOGE/USDT,155.682351065994,123640852.0
NOT/USDT,147.95559297,59247940.0
ELF/USDT,147.58946180517,91799651.0
ETHW/USDT,125.23942796000001,61290432.0
MANA/USDT,120.35942104624999,275076645.0
GRT/USDT,115.66394455794,457863236.0
PROVE/USDT,114.0672309,89675431.0
JITOSOL/USDT,100.25910404999999,2024371200.0
OM/USDT,100.23779687577999,90666509.0
RSR/USDT,94.64508939445498,167663513.0
ME/USDT,94.34605619999999,92473447.0
BABY/USDT,90.0618595,54774764.0
